4,38,2
1,0,2
9,12,2
9,15,2
8,26,2
3,23,2
2,10,2
3,30,2
3,2,2
8,30,2
2,16,2
0,16,2
3,23,2
6,21,2
4,20,2
7,1,2
0,22,2
1,1,2
4,32,2
3,4,2
39,99,23
37,92,22
36,90,22
33,98,27
32,99,22
20,95,29
29,90,25
39,92,28
80,109,125
83,109,123
84,105,127
81,108,128
81,106,120
84,109,126
83,107,120
82,105,122
82,108,121
83,107,121
80,107,126
81,109,123
81,105,128
83,107,126
84,108,123
81,109,121
80,107,126
84,106,121
81,106,122
83,107,122
84,105,126
83,106,127
81,108,128
84,105,125
82,106,123
83,106,123
81,106,128
81,106,125
80,107,122
80,108,129
81,106,124
80,107,125
83,108,127
83,105,125
83,108,121
81,109,127
81,108,123
80,106,124
81,109,120
82,108,126
84,109,127
84,108,124
80,108,123
80,105,126
84,106,123
82,105,125
84,109,123
81,108,123
81,109,124
80,107,123
